"playerID" "OB2012" "PA2012" "OB2013" "PA2013"
"altuvjo01" 213 630 211 672
"alvarpe01" 186 586 182 614
"andruel01" 242 711 224 698
"aokino01" 206 588 237 674
"aybarer01" 177 553 175 589
"barneda01" 175 588 146 553
"beltrad01" 235 654 256 690
"beltrca01" 214 619 203 600
"bournmi01" 244 703 180 575
"brantmi02" 212 609 202 611
"bruceja01" 207 633 229 696
"butlebi03" 253 679 250 668
"cabreas01" 208 616 166 562
"cabremi01" 274 697 288 652
"callaal01" 171 520 171 516
"castrst01" 223 691 200 705
"cespeyo01" 192 540 169 574
"choosh01" 256 686 300 712
"cozarza01" 172 600 172 618
"craigal01" 182 514 210 563
"crispco01" 163 508 195 584
"davisch02" 183 562 249 673
"deazaal01" 203 585 216 675
"desmoia01" 183 547 216 655
"doumiry01" 169 528 169 538
"dunnad01" 216 649 194 607
"encared01" 247 644 230 621
"escobal02" 212 648 164 642
"escobyu01" 180 608 190 578
"ethiean01" 217 618 199 553
"fieldpr01" 284 690 258 712
"freemfr01" 211 620 249 629
"freesda01" 211 567 177 521
"goldspa01" 211 587 284 709
"gonzaad01" 235 684 219 641
"gordoal01" 265 721 229 700
"hamiljo03" 225 636 195 636
"hardyjj01" 199 713 196 644
"headlch01" 263 699 208 600
"hollima01" 261 688 234 602
"hosmeer01" 182 598 240 680
"hunteto01" 213 584 217 652
"jacksau01" 232 617 206 614
"jayjo02" 184 502 217 628
"jennide01" 175 563 200 602
"johnsch05" 172 528 196 547
"jonesad01" 233 697 219 689
"kendrho01" 191 594 171 513
"kinslia01" 238 731 210 614
"kipnija01" 224 672 239 658
"konerpa01" 222 598 163 520
"larocad01" 222 647 196 590
"mauerjo01" 266 641 205 508
"mccutan01" 269 673 272 674
"molinya01" 209 563 194 541
"moralke01" 167 522 221 657
"morneju01" 190 570 205 635
"moustmi01" 182 614 147 514
"murphda08" 203 612 222 697
"pedrodu01" 216 623 269 724
"pencehu01" 219 688 233 687
"phillbr01" 199 623 205 666
"pierzaj01" 169 520 157 529
"poseybu01" 249 610 221 595
"pradoma01" 246 690 221 664
"ramiral03" 177 621 210 674
"reynoma01" 180 538 154 504
"riosal01" 214 640 214 661
"rolliji01" 220 699 211 666
"santaca01" 222 609 242 642
"scutama01" 234 683 192 547
"seageky01" 205 651 235 695
"smoakju01" 155 535 174 521
"soriaal01" 198 615 189 626
"spande01" 193 568 214 662
"suzukic01" 202 663 163 555
"swishni01" 227 624 216 634
"troutmi01" 255 639 309 716
"trumbma01" 186 586 199 678
"ugglada01" 219 630 166 537
"uptonju01" 223 628 227 643
"victosh01" 211 666 183 532
"walkene01" 181 530 185 551
"wietema01" 195 593 166 579
"youngmi02" 203 651 189 565
"zimmery01" 222 641 218 633
"zobribe01" 251 668 247 698
