"Sex" "Age" "Income" "Party"
1 63 3 3
2 40 3 7
1 43 4 6
2 47 3 1
2 26 4 1
2 48 3 1
1 37 2 3
2 18 3 5
1 31 4 7
2 18 2 6
2 22 3 2
2 44 4 7
1 72 2 4
2 43 4 3
2 57 1 1
1 43 4 2
2 63 1 7
2 40 2 3
2 44 4 2
1 29 3 7
1 63 3 3
2 57 2 6
2 39 4 2
1 68 2 5
2 22 3 4
2 76 2 5
2 59 1 1
2 30 3 1
2 67 1 2
2 43 3 1
2 34 1 5
2 23 4 7
2 30 4 6
1 37 3 1
1 47 5 6
1 50 2 6
1 37 2 6
2 45 2 2
2 51 1 2
1 34 2 3
2 56 2 4
2 60 3 1
2 58 3 4
2 38 4 7
2 58 3 2
1 30 1 5
2 37 4 2
1 46 3 1
1 54 3 6
2 84 1 1
1 47 2 1
2 40 3 6
2 24 2 6
2 37 4 6
2 34 3 2
2 64 2 5
2 34 1 3
2 82 2 1
1 56 4 7
1 25 4 3
2 47 3 6
1 57 2 3
1 49 4 5
2 35 3 2
2 45 2 6
2 51 3 3
1 78 2 5
2 42 5 2
2 51 4 5
2 35 4 6
1 42 5 6
1 36 4 7
1 48 4 1
2 40 3 6
1 33 3 2
2 29 2 1
1 66 3 6
2 61 2 2
2 74 1 1
2 65 1 1
2 55 1 7
2 62 2 1
1 45 4 5
2 51 5 2
2 60 3 6
1 65 3 5
2 37 3 1
2 82 2 1
1 61 3 1
1 57 1 1
2 57 1 1
2 56 4 1
1 81 2 7
2 35 4 7
1 55 3 2
2 33 3 2
2 22 2 4
2 78 2 1
2 79 2 5
2 77 1 2
2 73 2 7
2 44 3 2
2 74 2 2
2 88 1 1
2 29 1 4
2 76 2 6
2 45 2 1
2 50 5 6
1 37 3 1
2 51 4 1
1 35 2 6
2 36 3 7
1 27 3 4
1 32 3 7
1 67 3 6
2 56 3 2
1 39 2 5
2 68 3 6
2 46 4 7
1 63 3 7
2 46 4 3
1 40 3 7
2 59 5 4
2 41 4 4
1 54 4 7
1 30 2 5
2 62 3 2
1 53 3 2
2 56 3 6
2 52 2 2
2 72 1 3
1 31 4 5
2 37 4 3
2 32 2 7
1 36 3 6
1 57 3 5
2 32 1 5
2 72 1 4
1 43 2 1
1 70 3 3
1 46 3 2
2 66 1 7
1 34 3 5
2 30 3 5
1 26 2 5
1 62 2 5
1 28 3 1
2 65 3 1
2 84 1 1
1 35 3 7
2 51 2 2
1 31 3 1
1 54 4 1
1 28 3 5
2 82 2 2
1 50 3 5
2 75 3 4
2 90 2 4
2 50 3 1
2 42 1 4
2 29 4 6
2 60 2 1
2 59 2 4
1 55 1 4
2 30 1 1
1 79 2 4
2 24 3 5
1 46 4 6
1 56 5 6
1 64 2 5
1 70 3 1
2 66 4 7
1 78 2 6
2 40 1 7
2 89 1 2
1 30 2 7
2 41 3 7
2 74 2 1
2 53 2 1
2 24 3 5
1 43 4 1
1 22 1 1
2 57 3 1
2 36 2 4
2 44 3 6
1 36 2 7
2 49 2 4
2 51 3 7
1 57 2 7
2 75 4 2
1 24 2 3
1 64 1 3
2 38 4 3
2 82 1 6
2 71 1 3
1 35 4 2
1 58 1 3
1 55 4 2
2 59 3 4
2 84 1 2
1 43 2 6
2 24 4 4
2 43 3 6
1 51 2 1
1 74 3 1
1 40 4 6
1 39 4 7
2 61 2 3
2 63 4 7
1 31 4 1
1 61 2 2
2 58 3 7
2 51 4 4
